Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen;Vorzeitige Sterblichkeit Männer
5554;Borken;Landkreis;1.826,70;2,89
5558;Coesfeld;Landkreis;1.953,57;3,16
5562;Recklinghausen;Landkreis;1.642,44;4,31
5566;Steinfurt;Landkreis;1.817,30;3,44
5570;Warendorf;Landkreis;1.918,59;3,34
5711;Bielefeld, Stadt;kreisfreie Stadt;1.781,67;3,44
5754;Gütersloh;Landkreis;2.001,32;2,97
5758;Herford;Landkreis;1.846,93;3,73
5762;Höxter;Landkreis;1.791,95;3,67
5766;Lippe;Landkreis;1.823,09;3,8
5770;Minden-Lübbecke;Landkreis;1.845,42;3,88
5774;Paderborn;Landkreis;1.766,75;2,99
5911;Bochum, Stadt;kreisfreie Stadt;1.618,55;4,14
5913;Dortmund, Stadt;kreisfreie Stadt;1.553,54;4,15
5914;Hagen, Stadt;kreisfreie Stadt;1.608,13;4,82
5915;Hamm, Stadt;kreisfreie Stadt;1.491,68;3,98
5916;Herne, Stadt;kreisfreie Stadt;1.453,67;5,36
5954;Ennepe-Ruhr-Kreis;Landkreis;1.960,64;3,92
5958;Hochsauerlandkreis;Landkreis;1.980,78;3,52
5962;Märkischer Kreis;Landkreis;1.993,32;4,03
5966;Olpe;Landkreis;2.434,36;3,21
5970;Siegen-Wittgenstein;Landkreis;1.928,64;3,72
5974;Soest;Landkreis;1.836,62;3,82
5978;Unna;Landkreis;1.736,05;3,93
6411;Darmstadt, Stadt;kreisfreie Stadt;1.911,79;2,63
6412;Frankfurt am Main, Stadt;kreisfreie Stadt;1.879,50;2,87
6413;Offenbach am Main, Stadt;kreisfreie Stadt;1.545,58;3,18
6414;Wiesbaden, Stadt;kreisfreie Stadt;2.016,07;3,45
6431;Bergstraße;Landkreis;2.006,50;3,35
6432;Darmstadt-Dieburg;Landkreis;1.997,51;3,01
6433;Groß-Gerau;Landkreis;1.821,21;2,89
6434;Hochtaunuskreis;Landkreis;2.770,86;2,68
6435;Main-Kinzig-Kreis;Landkreis;1.982,12;3
6436;Main-Taunus-Kreis;Landkreis;2.296,31;2,69
6437;Odenwaldkreis;Landkreis;1.791,38;3,8
6438;Offenbach;Landkreis;2.009,25;2,9
6439;Rheingau-Taunus-Kreis;Landkreis;2.079,42;3,09
6440;Wetteraukreis;Landkreis;1.974,30;3,63
6531;Gießen;Landkreis;1.724,10;3,51
6532;Lahn-Dill-Kreis;Landkreis;1.919,14;4
6533;Limburg-Weilburg;Landkreis;1.843,09;3,74
6534;Marburg-Biedenkopf;Landkreis;1.735,90;3,28
6535;Vogelsbergkreis;Landkreis;1.763,98;4,07
