Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen
"05911";"Bochum, Stadt";"kreisfreie Stadt";"1.618,55"
"05913";"Dortmund, Stadt";"kreisfreie Stadt";"1.553,54"
"05914";"Hagen, Stadt";"kreisfreie Stadt";"1.608,13"
"05915";"Hamm, Stadt";"kreisfreie Stadt";"1.491,68"
"05916";"Herne, Stadt";"kreisfreie Stadt";"1.453,67"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"1.960,64"
"05958";"Hochsauerlandkreis";"Landkreis";"1.980,78"
"05962";"Märkischer Kreis";"Landkreis";"1.993,32"
"05966";"Olpe";"Landkreis";"2.434,36"
"05970";"Siegen-Wittgenstein";"Landkreis";"1.928,64"
"05974";"Soest";"Landkreis";"1.836,62"
"05978";"Unna";"Landkreis";"1.736,05"
"06411";"Darmstadt, Stadt";"kreisfreie Stadt";"1.911,79"
"06412";"Frankfurt am Main, Stadt";"kreisfreie Stadt";"1.879,50"
"06413";"Offenbach am Main, Stadt";"kreisfreie Stadt";"1.545,58"
"06414";"Wiesbaden, Stadt";"kreisfreie Stadt";"2.016,07"
"06431";"Bergstraße";"Landkreis";"2.006,50"
"06432";"Darmstadt-Dieburg";"Landkreis";"1.997,51"
"06433";"Groß-Gerau";"Landkreis";"1.821,21"
"06434";"Hochtaunuskreis";"Landkreis";"2.770,86"
"06435";"Main-Kinzig-Kreis";"Landkreis";"1.982,12"
"06436";"Main-Taunus-Kreis";"Landkreis";"2.296,31"
"06437";"Odenwaldkreis";"Landkreis";"1.791,38"
"06438";"Offenbach";"Landkreis";"2.009,25"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"2.079,42"
"06440";"Wetteraukreis";"Landkreis";"1.974,30"
"06531";"Gießen";"Landkreis";"1.724,10"
"06532";"Lahn-Dill-Kreis";"Landkreis";"1.919,14"
"06533";"Limburg-Weilburg";"Landkreis";"1.843,09"
"06534";"Marburg-Biedenkopf";"Landkreis";"1.735,90"
"06535";"Vogelsbergkreis";"Landkreis";"1.763,98"
"06611";"Kassel, Stadt";"kreisfreie Stadt";"1.601,69"
"06631";"Fulda";"Landkreis";"1.869,44"
"06632";"Hersfeld-Rotenburg";"Landkreis";"1.780,21"
"06633";"Kassel";"Landkreis";"1.841,73"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"1.781,46"
"06635";"Waldeck-Frankenberg";"Landkreis";"1.841,92"
"06636";"Werra-Meißner-Kreis";"Landkreis";"1.675,92"
"07111";"Koblenz, Stadt";"kreisfreie Stadt";"1.764,66"
"07131";"Ahrweiler";"Landkreis";"1.935,50"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"1.789,62"
"07133";"Bad Kreuznach";"Landkreis";"1.808,05"
"07134";"Birkenfeld";"Landkreis";"1.768,98"
"07135";"Cochem-Zell";"Landkreis";"1.851,32"
"07137";"Mayen-Koblenz";"Landkreis";"1.829,03"
"07138";"Neuwied";"Landkreis";"1.906,21"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"1.922,16"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"1.807,42"
"07143";"Westerwaldkreis";"Landkreis";"1.990,52"
"07211";"Trier, Stadt";"kreisfreie Stadt";"1.710,59"
"07231";"Bernkastel-Wittlich";"Landkreis";"1.819,14"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"1.784,12"
"07233";"Vulkaneifel";"Landkreis";"1.782,43"
"07235";"Trier-Saarburg";"Landkreis";"1.877,81"
"07311";"Frankenthal (Pfalz), Stadt";"kreisfreie Stadt";"1.776,25"
"07312";"Kaiserslautern, Stadt";"kreisfreie Stadt";"1.562,96"
"07313";"Landau in der Pfalz, Stadt";"kreisfreie Stadt";"1.791,30"
"07314";"Ludwigshafen am Rhein, Stadt";"kreisfreie Stadt";"1.620,88"
"07315";"Mainz, Stadt";"kreisfreie Stadt";"1.830,69"
"07316";"Neustadt an der Weinstraße, Stadt";"kreisfreie Stadt";"2.096,75"
"07317";"Pirmasens, Stadt";"kreisfreie Stadt";"1.616,06"
"07318";"Speyer, Stadt";"kreisfreie Stadt";"1.975,99"
"07319";"Worms, Stadt";"kreisfreie Stadt";"1.691,36"
"07320";"Zweibrücken, Stadt";"kreisfreie Stadt";"1.680,41"
"07331";"Alzey-Worms";"Landkreis";"1.868,16"
"07332";"Bad Dürkheim";"Landkreis";"2.140,45"
"07333";"Donnersbergkreis";"Landkreis";"1.762,85"
"07334";"Germersheim";"Landkreis";"1.867,26"
"07335";"Kaiserslautern";"Landkreis";"1.751,09"
"07336";"Kusel";"Landkreis";"1.698,86"
"07337";"Südliche Weinstraße";"Landkreis";"1.962,39"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"2.141,93"
"07339";"Mainz-Bingen";"Landkreis";"2.064,87"
"07340";"Südwestpfalz";"Landkreis";"1.873,28"
"08111";"Stuttgart, Stadt";"kreisfreie Stadt";"2.117,11"
"08115";"Böblingen";"Landkreis";"2.070,43"
"08116";"Esslingen";"Landkreis";"2.092,08"
"08117";"Göppingen";"Landkreis";"1.966,33"
"08118";"Ludwigsburg";"Landkreis";"2.118,93"
"08119";"Rems-Murr-Kreis";"Landkreis";"2.057,55"
"08121";"Heilbronn, Stadt";"kreisfreie Stadt";"3.415,89"
"08125";"Heilbronn";"Landkreis";"2.038,41"
"08126";"Hohenlohekreis";"Landkreis";"2.019,68"
"08127";"Schwäbisch Hall";"Landkreis";"1.938,75"
"08128";"Main-Tauber-Kreis";"Landkreis";"1.883,94"
"08135";"Heidenheim";"Landkreis";"1.863,79"
"08136";"Ostalbkreis";"Landkreis";"1.990,84"
"08211";"Baden-Baden, Stadt";"kreisfreie Stadt";"2.362,42"
"08212";"Karlsruhe, Stadt";"kreisfreie Stadt";"1.828,78"
"08215";"Karlsruhe";"Landkreis";"1.974,74"
"08216";"Rastatt";"Landkreis";"1.922,25"
"08221";"Heidelberg, Stadt";"kreisfreie Stadt";"1.910,20"
"08222";"Mannheim, Stadt";"kreisfreie Stadt";"1.781,57"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"1.823,63"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"2.024,57"
"08231";"Pforzheim, Stadt";"kreisfreie Stadt";"1.855,08"
"08235";"Calw";"Landkreis";"1.945,69"
"08236";"Enzkreis";"Landkreis";"2.115,55"
"08237";"Freudenstadt";"Landkreis";"2.017,12"
"08311";"Freiburg im Breisgau, Stadt";"kreisfreie Stadt";"1.805,83"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"2.013,38"
"08316";"Emmendingen";"Landkreis";"1.911,65"
"08317";"Ortenaukreis";"Landkreis";"1.917,29"
"08325";"Rottweil";"Landkreis";"2.057,31"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"2.028,19"
"08327";"Tuttlingen";"Landkreis";"2.130,63"
"08335";"Konstanz";"Landkreis";"2.041,86"
"08336";"Lörrach";"Landkreis";"2.187,47"
"08337";"Waldshut";"Landkreis";"2.025,85"
"08415";"Reutlingen";"Landkreis";"2.015,95"
"08416";"Tübingen";"Landkreis";"1.922,13"
"08417";"Zollernalbkreis";"Landkreis";"2.079,35"
"08421";"Ulm, Stadt";"kreisfreie Stadt";"2.295,90"
"08425";"Alb-Donau-Kreis";"Landkreis";"1.932,64"
