Kennziffer;Raumeinheit;Aggregat;Vorzeitige Sterblichkeit Männer
9675;Kitzingen;Landkreis;3,12
9676;Miltenberg;Landkreis;2,9
9677;Main-Spessart;Landkreis;3,31
9678;Schweinfurt;Landkreis;3,19
9679;Würzburg;Landkreis;2,64
9761;Augsburg, Stadt;kreisfreie Stadt;3,44
9762;Kaufbeuren, Stadt;kreisfreie Stadt;3,34
9763;Kempten (Allgäu), Stadt;kreisfreie Stadt;3,11
9764;Memmingen, Stadt;kreisfreie Stadt;3,83
9771;Aichach-Friedberg;Landkreis;2,61
9772;Augsburg;Landkreis;2,71
9773;Dillingen a.d.Donau;Landkreis;3,13
9774;Günzburg;Landkreis;3
9775;Neu-Ulm;Landkreis;3,03
9776;Lindau (Bodensee);Landkreis;3,24
9777;Ostallgäu;Landkreis;3,04
9778;Unterallgäu;Landkreis;3,01
9779;Donau-Ries;Landkreis;2,93
9780;Oberallgäu;Landkreis;2,81
10041;Regionalverband Saarbrücken;Landkreis;4,68
10042;Merzig-Wadern;Landkreis;4,54
10043;Neunkirchen;Landkreis;5,04
10044;Saarlouis;Landkreis;4,56
10045;Saarpfalz-Kreis;Landkreis;4,07
10046;St. Wendel;Landkreis;4,22
11000;Berlin, Stadt;kreisfreie Stadt;3,43
12051;Brandenburg an der Havel, Stadt;kreisfreie Stadt;5,43
12052;Cottbus, Stadt;kreisfreie Stadt;5,4
12053;Frankfurt (Oder), Stadt;kreisfreie Stadt;5,19
12054;Potsdam, Stadt;kreisfreie Stadt;3,33
12060;Barnim;Landkreis;4,84
12061;Dahme-Spreewald;Landkreis;4,22
12062;Elbe-Elster;Landkreis;5,77
12063;Havelland;Landkreis;4,35
12064;Märkisch-Oderland;Landkreis;4,57
12065;Oberhavel;Landkreis;3,93
12066;Oberspreewald-Lausitz;Landkreis;5,98
12067;Oder-Spree;Landkreis;5,38
12068;Ostprignitz-Ruppin;Landkreis;4,98
12069;Potsdam-Mittelmark;Landkreis;4,25
12070;Prignitz;Landkreis;5,67
12071;Spree-Neiße;Landkreis;6,2
12072;Teltow-Fläming;Landkreis;4,22
12073;Uckermark;Landkreis;6,56
13003;Rostock, Stadt;kreisfreie Stadt;4,14
13004;Schwerin, Stadt;kreisfreie Stadt;5,46
13071;Mecklenburgische Seenplatte;Landkreis;5,75
13072;Landkreis Rostock;Landkreis;5,3
13073;Vorpommern-Rügen;Landkreis;5,9
13074;Nordwestmecklenburg;Landkreis;4,88
13075;Vorpommern-Greifswald;Landkreis;5,99
13076;Ludwigslust-Parchim;Landkreis;5,04
14511;Chemnitz, Stadt;kreisfreie Stadt;4,46
14521;Erzgebirgskreis;Landkreis;5,15
14522;Mittelsachsen;Landkreis;4,61
14523;Vogtlandkreis;Landkreis;5,46
14524;Zwickau;Landkreis;5,13
14612;Dresden, Stadt;kreisfreie Stadt;2,91
14625;Bautzen;Landkreis;4,71
14626;Görlitz;Landkreis;5,83
14627;Meißen;Landkreis;4,29
14628;Sächsische Schweiz-Osterzgebirge;Landkreis;4,76
14713;Leipzig, Stadt;kreisfreie Stadt;3,69
14729;Leipzig;Landkreis;5,05
14730;Nordsachsen;Landkreis;5,2
15001;Dessau-Roßlau, Stadt;kreisfreie Stadt;6,48
15002;Halle (Saale), Stadt;kreisfreie Stadt;4,86
15003;Magdeburg, Stadt;kreisfreie Stadt;4,17
15081;Altmarkkreis Salzwedel;Landkreis;5,37
15082;Anhalt-Bitterfeld;Landkreis;5,95
15083;Börde;Landkreis;5,63
15084;Burgenlandkreis;Landkreis;5,89
15085;Harz;Landkreis;5,82
15086;Jerichower Land;Landkreis;5,85
15087;Mansfeld-Südharz;Landkreis;6,02
15088;Saalekreis;Landkreis;5,41
15089;Salzlandkreis;Landkreis;6,25
15090;Stendal;Landkreis;6,26
15091;Wittenberg;Landkreis;5,79
16051;Erfurt, Stadt;kreisfreie Stadt;4,34
16052;Gera, Stadt;kreisfreie Stadt;6,23
16053;Jena, Stadt;kreisfreie Stadt;2,83
16054;Suhl, Stadt;kreisfreie Stadt;6,15
16055;Weimar, Stadt;kreisfreie Stadt;4,14
16056;Eisenach, Stadt;kreisfreie Stadt;4,51
16061;Eichsfeld;Landkreis;3,85
16062;Nordhausen;Landkreis;5,03
16063;Wartburgkreis;Landkreis;5
16064;Unstrut-Hainich-Kreis;Landkreis;5,1
16065;Kyffhäuserkreis;Landkreis;6,23
16066;Schmalkalden-Meiningen;Landkreis;5,05
16067;Gotha;Landkreis;5,09
16068;Sömmerda;Landkreis;4,76
16069;Hildburghausen;Landkreis;5,09
16070;Ilm-Kreis;Landkreis;4,65
16071;Weimarer Land;Landkreis;5,17
16072;Sonneberg;Landkreis;6,31
16073;Saalfeld-Rudolstadt;Landkreis;5,04
16074;Saale-Holzland-Kreis;Landkreis;4,26
16075;Saale-Orla-Kreis;Landkreis;5,38
16076;Greiz;Landkreis;4,87
16077;Altenburger Land;Landkreis;5,44
