Nr.;Kreis/Region;Aggregat;HE;vSM
5974;Soest;Landkreis;1836,62;3,82
5978;Unna;Landkreis;1736,05;3,93
6411;Darmstadt, Stadt;kreisfreie Stadt;1911,79;2,63
6412;Frankfurt am Main, Stadt;kreisfreie Stadt;1879,50;2,87
6413;Offenbach am Main, Stadt;kreisfreie Stadt;1545,58;3,18
6414;Wiesbaden, Stadt;kreisfreie Stadt;2016,07;3,45
6431;Bergstraße;Landkreis;2006,50;3,35
6432;Darmstadt-Dieburg;Landkreis;1997,51;3,01
6433;Groß-Gerau;Landkreis;1821,21;2,89
6434;Hochtaunuskreis;Landkreis;2770,86;2,68
6435;Main-Kinzig-Kreis;Landkreis;1982,12;3
6436;Main-Taunus-Kreis;Landkreis;2296,31;2,69
6437;Odenwaldkreis;Landkreis;1791,38;3,8
6438;Offenbach;Landkreis;2009,25;2,9
6439;Rheingau-Taunus-Kreis;Landkreis;2079,42;3,09
6440;Wetteraukreis;Landkreis;1974,30;3,63
6531;Gießen;Landkreis;1724,10;3,51
6532;Lahn-Dill-Kreis;Landkreis;1919,14;4
6533;Limburg-Weilburg;Landkreis;1843,09;3,74
6534;Marburg-Biedenkopf;Landkreis;1735,90;3,28
6535;Vogelsbergkreis;Landkreis;1763,98;4,07
6611;Kassel, Stadt;kreisfreie Stadt;1601,69;3,65
6631;Fulda;Landkreis;1869,44;2,98
6632;Hersfeld-Rotenburg;Landkreis;1780,21;3,42
6633;Kassel;Landkreis;1841,73;3,58
6634;Schwalm-Eder-Kreis;Landkreis;1781,46;3,84
6635;Waldeck-Frankenberg;Landkreis;1841,92;3,8
6636;Werra-Meißner-Kreis;Landkreis;1675,92;3,96
7111;Koblenz, Stadt;kreisfreie Stadt;1764,66;3,34
7131;Ahrweiler;Landkreis;1935,50;3,95
7132;Altenkirchen (Westerwald);Landkreis;1789,62;4,23
7133;Bad Kreuznach;Landkreis;1808,05;4,23
7134;Birkenfeld;Landkreis;1768,98;5,13
7135;Cochem-Zell;Landkreis;1851,32;3,89
7137;Mayen-Koblenz;Landkreis;1829,03;3,68
7138;Neuwied;Landkreis;1906,21;3,6
7140;Rhein-Hunsrück-Kreis;Landkreis;1922,16;3,55
7141;Rhein-Lahn-Kreis;Landkreis;1807,42;4,29
7143;Westerwaldkreis;Landkreis;1990,52;3,51
7211;Trier, Stadt;kreisfreie Stadt;1710,59;3,13
7231;Bernkastel-Wittlich;Landkreis;1819,14;3,4
7232;Eifelkreis Bitburg-Prüm;Landkreis;1784,12;3,79
7233;Vulkaneifel;Landkreis;1782,43;3,45
7235;Trier-Saarburg;Landkreis;1877,81;3,32
7311;Frankenthal (Pfalz), Stadt;kreisfreie Stadt;1776,25;3,75
7312;Kaiserslautern, Stadt;kreisfreie Stadt;1562,96;3,57
7313;Landau in der Pfalz, Stadt;kreisfreie Stadt;1791,30;2,85
7314;Ludwigshafen am Rhein, Stadt;kreisfreie Stadt;1620,88;3,89
7315;Mainz, Stadt;kreisfreie Stadt;1830,69;2,76
7316;Neustadt an der Weinstraße, Stadt;kreisfreie Stadt;2096,75;3,81
7317;Pirmasens, Stadt;kreisfreie Stadt;1616,06;5,4
7318;Speyer, Stadt;kreisfreie Stadt;1975,99;3,95
7319;Worms, Stadt;kreisfreie Stadt;1691,36;3,95
7320;Zweibrücken, Stadt;kreisfreie Stadt;1680,41;3,78
7331;Alzey-Worms;Landkreis;1868,16;3,66
7332;Bad Dürkheim;Landkreis;2140,45;3,86
7333;Donnersbergkreis;Landkreis;1762,85;3,76
7334;Germersheim;Landkreis;1867,26;3,25
7335;Kaiserslautern;Landkreis;1751,09;3,56
7336;Kusel;Landkreis;1698,86;4,67
7337;Südliche Weinstraße;Landkreis;1962,39;3,41
7338;Rhein-Pfalz-Kreis;Landkreis;2141,93;3,13
7339;Mainz-Bingen;Landkreis;2064,87;2,95
7340;Südwestpfalz;Landkreis;1873,28;3,78
8111;Stuttgart, Stadt;kreisfreie Stadt;2117,11;2,58
8115;Böblingen;Landkreis;2070,43;2,42
8116;Esslingen;Landkreis;2092,08;2,48
8117;Göppingen;Landkreis;1966,33;2,62
8118;Ludwigsburg;Landkreis;2118,93;2,54
8119;Rems-Murr-Kreis;Landkreis;2057,55;2,98
8121;Heilbronn, Stadt;kreisfreie Stadt;3415,89;2,87
8125;Heilbronn;Landkreis;2038,41;2,66
8126;Hohenlohekreis;Landkreis;2019,68;3,18
8127;Schwäbisch Hall;Landkreis;1938,75;3,32
8128;Main-Tauber-Kreis;Landkreis;1883,94;2,83
8135;Heidenheim;Landkreis;1863,79;3,21
8136;Ostalbkreis;Landkreis;1990,84;3,21
8211;Baden-Baden, Stadt;kreisfreie Stadt;2362,42;4,18
8212;Karlsruhe, Stadt;kreisfreie Stadt;1828,78;2,84
8215;Karlsruhe;Landkreis;1974,74;2,98
8216;Rastatt;Landkreis;1922,25;3,59
8221;Heidelberg, Stadt;kreisfreie Stadt;1910,20;2,33
8222;Mannheim, Stadt;kreisfreie Stadt;1781,57;3,68
8225;Neckar-Odenwald-Kreis;Landkreis;1823,63;3,85
8226;Rhein-Neckar-Kreis;Landkreis;2024,57;3,1
8231;Pforzheim, Stadt;kreisfreie Stadt;1855,08;3,23
8235;Calw;Landkreis;1945,69;3,46
8236;Enzkreis;Landkreis;2115,55;2,57
8237;Freudenstadt;Landkreis;2017,12;2,57
8311;Freiburg im Breisgau, Stadt;kreisfreie Stadt;1805,83;2,42
8315;Breisgau-Hochschwarzwald;Landkreis;2013,38;2,77
8316;Emmendingen;Landkreis;1911,65;2,76
8317;Ortenaukreis;Landkreis;1917,29;3,02
8325;Rottweil;Landkreis;2057,31;3,07
8326;Schwarzwald-Baar-Kreis;Landkreis;2028,19;2,98
8327;Tuttlingen;Landkreis;2130,63;2,89
8335;Konstanz;Landkreis;2041,86;2,84
8336;Lörrach;Landkreis;2187,47;3,27
8337;Waldshut;Landkreis;2025,85;3,42
8415;Reutlingen;Landkreis;2015,95;3,19
8416;Tübingen;Landkreis;1922,13;2,36
8417;Zollernalbkreis;Landkreis;2079,35;3,2
8421;Ulm, Stadt;kreisfreie Stadt;2295,90;2,45
8425;Alb-Donau-Kreis;Landkreis;1932,64;2,98
8426;Biberach;Landkreis;1977,01;2,85
8435;Bodenseekreis;Landkreis;2147,92;2,61
8436;Ravensburg;Landkreis;1964,23;2,73
8437;Sigmaringen;Landkreis;1871,67;3,38
9161;Ingolstadt, Stadt;kreisfreie Stadt;1952,48;2,6
9162;München, Stadt;kreisfreie Stadt;2551,39;2,41
9163;Rosenheim, Stadt;kreisfreie Stadt;1885,62;3
9171;Altötting;Landkreis;1921,79;3,82
9172;Berchtesgadener Land;Landkreis;1921,67;3,2
9173;Bad Tölz-Wolfratshausen;Landkreis;2180,76;2,61
9174;Dachau;Landkreis;2105,07;2,48
9175;Ebersberg;Landkreis;2287,31;2,05
9176;Eichstätt;Landkreis;1983,05;2,61
9177;Erding;Landkreis;2083,20;2,73
9178;Freising;Landkreis;1996,59;2,51
9179;Fürstenfeldbruck;Landkreis;2146,97;2,16
9180;Garmisch-Partenkirchen;Landkreis;2094,81;3,59
9181;Landsberg am Lech;Landkreis;2157,86;3,05
9182;Miesbach;Landkreis;2832,37;2,38
9183;Mühldorf a.Inn;Landkreis;1957,52;3,44
9184;München;Landkreis;2560,93;2,13
9185;Neuburg-Schrobenhausen;Landkreis;1969,25;2,52
9186;Pfaffenhofen a.d.Ilm;Landkreis;2138,32;2,93
9187;Rosenheim;Landkreis;2101,62;2,97
9188;Starnberg;Landkreis;3063,44;2,05
9189;Traunstein;Landkreis;2051,25;2,79
9190;Weilheim-Schongau;Landkreis;2105,55;2,78
9261;Landshut, Stadt;kreisfreie Stadt;2071,83;3,35
9262;Passau, Stadt;kreisfreie Stadt;1768,91;3,85
9263;Straubing, Stadt;kreisfreie Stadt;1987,82;4,57
9271;Deggendorf;Landkreis;1949,25;3,27
9272;Freyung-Grafenau;Landkreis;1768,06;3,83
9273;Kelheim;Landkreis;1936,90;2,95
9274;Landshut;Landkreis;2002,28;2,5
9275;Passau;Landkreis;1833,58;3,47
9276;Regen;Landkreis;1767,67;4,15
9277;Rottal-Inn;Landkreis;1928,19;3,2
9278;Straubing-Bogen;Landkreis;1950,14;2,95
9279;Dingolfing-Landau;Landkreis;2009,24;2,92
9361;Amberg, Stadt;kreisfreie Stadt;1829,80;5,01
9362;Regensburg, Stadt;kreisfreie Stadt;1867,89;2,71
9363;Weiden i.d.OPf., Stadt;kreisfreie Stadt;1793,94;3,64
9371;Amberg-Sulzbach;Landkreis;1879,68;4,03
9372;Cham;Landkreis;1848,05;3,88
9373;Neumarkt i.d.OPf.;Landkreis;2005,55;3,43
9374;Neustadt a.d.Waldnaab;Landkreis;1804,16;3,84
9375;Regensburg;Landkreis;1991,47;3,24
9376;Schwandorf;Landkreis;1812,95;3,4
9377;Tirschenreuth;Landkreis;1845,24;4,15
9461;Bamberg, Stadt;kreisfreie Stadt;1811,80;3,3
9462;Bayreuth, Stadt;kreisfreie Stadt;1721,17;3,1
9463;Coburg, Stadt;kreisfreie Stadt;2039,47;4,73
9464;Hof, Stadt;kreisfreie Stadt;1660,34;5,25
9471;Bamberg;Landkreis;1874,98;3,13
9472;Bayreuth;Landkreis;1845,60;3,68
9473;Coburg;Landkreis;2100,73;4,32
9474;Forchheim;Landkreis;1997,71;3,4
9475;Hof;Landkreis;1814,77;4,79
9476;Kronach;Landkreis;1877,98;4,39
9477;Kulmbach;Landkreis;1925,22;4,78
9478;Lichtenfels;Landkreis;1896,41;4,54
9479;Wunsiedel i.Fichtelgebirge;Landkreis;1867,00;5,59
9561;Ansbach, Stadt;kreisfreie Stadt;1777,41;3,93
